Date,URL,News
2024-11-11,https://www.thestar.com.my/business/business-news/2024/11/11/alliance-bank-expected-to-continue-robust-loan-growth-stable-nims-in-2qfy25---maybank-ib,"The investment bank said industry deposit competition had somewhat abated in 3Q 2024, and it expects Alliance Bank's NIM to have been relatively stable in 2Q FY2025, against its NIM of 2.45 per cent in 1Q FY2025."
2024-11-12,https://www.thestar.com.my/business/business-news/2024/11/12/maybank-is-said-to-weigh-options-for-insurer-etiqa,"Maybank, as the Kuala Lumpur-listed lender is known, may also seek to replace Belgium insurer Ageas with another minority investor, said the people, asking not to be identified as the deliberations are private. Maybank owns 69% of Etiqa, while Ageas holds the remaining 31%."
2024-11-13,https://www.thestar.com.my/business/business-news/2024/11/13/maybank-weighing-options-for-insurer-etiqa,"Maybank may also seek to replace Belgium insurer Ageas with another minority investor, said the people, asking not to be identified as the deliberations are private. Maybank owns 69% of Etiqa, while Ageas holds the remaining 31%.A potential deal could value Etiqa at as much as US$4bil, the people said. Other options include renegotiating existing bancassurance agreements to help distribute insurance products, they added."
2024-11-25,https://www.thestar.com.my/tech/tech-news/2024/11/25/maybank-duitnow-transfer-and-duitnow-qr-services-temporarily-unavailable-nov-25,"Update:Maybank has confirmed that their services are back to normal in a new post on X. “We wish to inform you that all our services have resumed. Thank you for your patience and kind understanding,” the bank said."
2024-11-26,https://www.thestar.com.my/business/business-news/2024/11/26/maybank-records-higher-net-profit-of-rm254bil-in-3q,He said the improved performance was achieved despite challenges on the global front and market volatility across the region.
2024-11-27,https://www.thestar.com.my/business/business-news/2024/11/27/maybank-asset-management-announces-new-new-multi-asset-solution,"KUALA LUMPUR: Maybank Asset Management Sdn Bhd unveiled its new multi-asset solution, MAMG Alpha Capital & Income Opportunities Fund, designed to enhance diversification and deliver both income and capital growth. In collaboration with investment management firm, Fidelity International, the new fund will feed into Fidelity International’s ‘FAST– Maybank Alpha Capital & Income Opportunities Fund’, to offer investors broad access to greater diversification benefits."
2024-11-27,https://www.thestar.com.my/business/business-news/2024/11/27/maybank-posts-strong-nine-month-performance,The group said it will advance the application of values-based banking principles through its solutions and services as a strategic differentiator to drive economic value and in line with its mission of Humanising Financial Services.
2024-11-28,https://www.thestar.com.my/business/business-news/2024/11/28/maybank-earnings-meet-forecasts,"Gross impaired loan ratio, which indicates loans might be non-performing, also ticked down."
2024-11-30,https://www.thestar.com.my/business/business-news/2024/11/30/maybank-offers-flood-relief-assistance-to-affected-customers-nationwide,"“The flood relief assistance is designed to address the challenges the flood victims are facing and will include, amongst others, deferment of financing/loan repayment, a reduction in monthly instalment or extension of repayment tenure,” Maybank said in a statement."
2024-12-02,https://www.thestar.com.my/business/business-news/2024/12/02/cimb-maybank-affin-bank-offer-flood-relief-assistance-to-clients,"In a statement, CIMB said individual, small and medium enterprises (SME) and micro-SME customers who the floods have impacted, can apply for a six-month payment relief on loan and financing products to help alleviate their financial burden under the “CIMB Flood Relief Assistance Plan”."
2024-12-11,https://www.thestar.com.my/aseanplus/aseanplus-news/2024/12/11/maybank-foresees-resilient-asean-economic-growth-next-year-xinhua-report,"KUALA LUMPUR/BANGKOK (Xinhua): A Malaysian research house has foreseen resilient Asean economic growth next year despite looming global economic tensions. Maybank Investment Bank said in a report on Tuesday that going into 2025, the outlook for the Association of South-East Asian Nations (Asean) is clouded by U.S. President-elect Donald Trump's radical policy shifts and a looming global trade war."
2025-01-02,https://www.thestar.com.my/business/business-news/2025/01/02/maybank-launches-money-lock-a-market-first-feature-to-protect-funds-from-online-scams,"In a statement, the bank said that this additional layer of security allows customers to enjoy the benefits of online banking while ensuring their financial peace of mind."
2025-01-02,https://www.thestar.com.my/business/business-news/2025/01/02/maybank-positioned-for-growth,"In a report, TA Research said while Maybank is well positioned to benefit from a possible increase in corporate loans and capital market activity, the bank is also supercharging growth in the mid-market and small and medium-sized enterprises (SME) space."
2025-01-07,https://www.thestar.com.my/business/business-news/2025/01/07/maybank-js-sez-to-drive-greater-economic-integration-create-more-jobs,"KUALA LUMPUR: The signing of the Johor-Singapore Special Economic Zone (JS-SEZ) agreements will drive greater economic integration, catalysing growth and promoting greater economic participation between the two countries."
2025-01-12,https://www.thestar.com.my/sport/hockey/2025/01/12/age-doesnt-seem-to-slow-razie-down-as-hes-still-able-to-thrive-for-maybank,"PETALING JAYA: Seasoned campaigner Razie Rahim (pic) remains as one of the top hockey players in Malaysia despite being out of the national fold for the last two years. Even at the age of 37, the Police Inspector is not slowing down, instead, he showed his worth by scoring a winner in Maybank’s 2-1 win against Chinese club Liaoning at the National Hockey Stadium on Friday."
2025-01-15,https://www.thestar.com.my/business/business-news/2025/01/15/us-ai-chip-export-restrictions-to-have-limited-impact-on-tech-sector---maybank,"PETALING JAYA: The potential curbing of artificial intelligence (AI)-related chip exports by the United States is expected to have a limited direct impact on Bursa Malaysia's technology index, while AI exposure remains a key growth driver for the technology sector. In a research note, Maybank Investment Bank (Maybank IB) Research pointed out that the divergence in growth prospects between the electronics manufacturing services (EMS) and semiconductor sub-sectors stems from differing levels of exposure to AI and data centre trends."
2025-01-20,https://www.thestar.com.my/sport/hockey/2025/01/20/its-not-just-goals-that-make-ashran-a-valuable-asset-for-maybank,"PETALING JAYA: Ashran Hamsani may not boast a high strikerate so far but he has stepped forward as a valuable player for Maybank in the Malaysian Hockey League (MHL). The Perakian has still proved to be a potent forward, thanks to his ability to press the defenders and get penalty corners."
2025-01-22,https://www.thestar.com.my/sport/hockey/2025/01/22/indoor-adventure-for-seven-but-outdoor-concern-for-maybank,"PETALING JAYA: The situation of several players heading to the Indoor Hockey World Cup has put Maybank’s good form at risk as their conditions could be affected upon returning. Maybank, who currently sit second in the Malaysian Hockey League (MHL), will have to be without seven players who are in the national indoor hockey squad competing at the World Cup in Porec, Croatia, from Feb 3-9."
2025-01-24,https://www.thestar.com.my/business/business-news/2025/01/24/maybank-ib-issues-four-new-structured-warrants-linked-to-cpo-futures,"KUALA LUMPUR: Maybank Investment Bank Bhd (Maybank IB) has issued four new structured warrants linked to crude palm oil futures (FCPO) traded on Bursa Malaysia Derivatives. The warrants are available for trading starting today, positioning Maybank IB as one of the first issuers of this financial instrument referencing a commodity, it said in a statement today."
